[Mon Feb 27 10:29:10.355842 2017] [:error] [pid 26060] [client 127.0.0.1:58280] PHP Warning:  filesize(): stat failed for /home/vidok/sites/ogame.zz/module/Entities../../upload/img_0001.jpg in /home/vidok/sites/ogame.zz/module/Entities/src/Classes/UploadHandler.php on line 298, referer: http://ogame.zz/entities
[Mon Feb 27 10:29:10.355915 2017] [:error] [pid 26060] [client 127.0.0.1:58280] PHP Warning:  unlink(/home/vidok/sites/ogame.zz/module/Entities../../upload/img_0001.jpg): No such file or directory in /home/vidok/sites/ogame.zz/module/Entities/src/Classes/UploadHandler.php on line 1103, referer: http://ogame.zz/entities
[Mon Feb 27 10:29:31.081425 2017] [:error] [pid 26060] [client 127.0.0.1:58280] PHP Warning:  mkdir(): File exists in /home/vidok/sites/ogame.zz/module/Entities/src/Classes/UploadHandler.php on line 1070, referer: http://ogame.zz/entities
[Mon Feb 27 10:29:31.081915 2017] [:error] [pid 26060] [client 127.0.0.1:58280] PHP Warning:  filesize(): stat failed for /home/vidok/sites/ogame.zz/module/Entities../../upload/img_0004.jpg in /home/vidok/sites/ogame.zz/module/Entities/src/Classes/UploadHandler.php on line 298, referer: http://ogame.zz/entities
[Mon Feb 27 10:29:31.081965 2017] [:error] [pid 26060] [client 127.0.0.1:58280] PHP Warning:  unlink(/home/vidok/sites/ogame.zz/module/Entities../../upload/img_0004.jpg): No such file or directory in /home/vidok/sites/ogame.zz/module/Entities/src/Classes/UploadHandler.php on line 1103, referer: http://ogame.zz/entities
[Mon Feb 27 10:58:35.869046 2017] [:error] [pid 26059] [client 127.0.0.1:58323] PHP Notice:  Trying to get property of non-object in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 28, referer: http://ogame.zz/entities
[Mon Feb 27 10:59:04.142019 2017] [:error] [pid 26059] [client 127.0.0.1:58323] PHP Notice:  Trying to get property of non-object in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 29, referer: http://ogame.zz/entities
[Mon Feb 27 10:59:56.972185 2017] [:error] [pid 26114] [client 127.0.0.1:58325] PHP Notice:  Trying to get property of non-object in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 30, referer: http://ogame.zz/entities
[Mon Feb 27 11:00:36.064879 2017] [:error] [pid 26114] [client 127.0.0.1:58325] PHP Fatal error:  Cannot use object of type stdClass as array in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 28, referer: http://ogame.zz/entities
[Mon Feb 27 11:01:37.906138 2017] [:error] [pid 26058] [client 127.0.0.1:58328] PHP Fatal error:  Cannot use object of type stdClass as array in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 28, referer: http://ogame.zz/entities
[Mon Feb 27 11:20:46.655413 2017] [:error] [pid 26060] [client 127.0.0.1:58398] PHP Notice:  Undefined property: stdClass::$error in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 29, referer: http://ogame.zz/entities
[Mon Feb 27 11:20:51.724306 2017] [:error] [pid 26060] [client 127.0.0.1:58398] PHP Notice:  Undefined property: stdClass::$error in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 29, referer: http://ogame.zz/entities
[Mon Feb 27 11:21:10.098363 2017] [:error] [pid 26060] [client 127.0.0.1:58398] PHP Notice:  Undefined property: stdClass::$error in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 29, referer: http://ogame.zz/entities
[Mon Feb 27 14:44:27.458371 2017] [:error] [pid 26057] [client 127.0.0.1:33440] PHP Catchable fatal error:  Argument 1 passed to Entities\\Controller\\TechLoadController::__construct() must be an instance of Entities\\Controller\\TechnologyRepository, none given, called in /home/vidok/sites/ogame.zz/vendor/zendframework/zend-servicemanager/src/Factory/InvokableFactory.php on line 32 and defined in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 27, referer: http://ogame.zz/entities
[Mon Feb 27 14:45:26.549232 2017] [:error] [pid 26057] [client 127.0.0.1:33440] PHP Catchable fatal error:  Argument 1 passed to Entities\\Controller\\TechLoadController::__construct() must be an instance of Entities\\Model\\TechnologyRepository, none given, called in /home/vidok/sites/ogame.zz/vendor/zendframework/zend-servicemanager/src/Factory/InvokableFactory.php on line 32 and defined in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 28, referer: http://ogame.zz/entities
[Mon Feb 27 14:46:28.675578 2017] [:error] [pid 26110] [client 127.0.0.1:33448] PHP Fatal error:  Class 'Entities\\Factory\\TechLoadController' not found in /home/vidok/sites/ogame.zz/module/Entities/src/Factory/TechLoadControllerFactory.php on line 19, referer: http://ogame.zz/entities
[Mon Feb 27 14:47:23.658120 2017] [:error] [pid 26110] [client 127.0.0.1:33448] PHP Fatal error:  Class 'Entities\\Model\\TechLoadController' not found in /home/vidok/sites/ogame.zz/module/Entities/src/Factory/TechLoadControllerFactory.php on line 20, referer: http://ogame.zz/entities
[Mon Feb 27 14:47:40.389735 2017] [:error] [pid 26110] [client 127.0.0.1:33448] PHP Fatal error:  Class 'Entities\\COntroller\\TechLoadController' not found in /home/vidok/sites/ogame.zz/module/Entities/src/Factory/TechLoadControllerFactory.php on line 20, referer: http://ogame.zz/entities
